132,Air Mauritius;MK;MAU;AIRMAURITIUS;Mauritius
133,Air Mediterranee;DR;BIE;MEDITERRANEE;France
134,Air Midwest;ZV;AMW;AIR MIDWEST;United States
135,Air Mobility Command;MC;RCH;REACH;United States
136,Air Moldova;9U;MLD;AIR MOLDOVA;Moldova
137,Air Namibia;SW;NMB;NAMIBIA;Namibia
138,Air New Zealand;NZ;ANZ;NEW ZEALAND;New Zealand
139,Air Nippon Network Co. Ltd.;EH;AKX;ALFA WING;Japan
140,Air Nippon;EL;ANK;ANK AIR;Japan
141,Air Niugini;PX;ANG;NUIGINI;Papua New Guinea
142,Air North Charter - Canada;4N;ANT;AIR NORTH;Canada
143,Air Nostrum;YW;ANE;AIR NOSTRUM;Spain
144,Air One;AP;ADH;HERON;Italy
145,Air Pacific;FJ;FJI;PACIFIC;Fiji
146,Air Paradise International;AD;PRZ;RADISAIR;Indonesia
147,Air Philippines;2P;GAP;ORIENT PACIFIC;Philippines
148,Air Plus Comet;A7;MPD;RED COMET;Spain
149,Air Sahara;S2;RSH;SAHARA;India
150,Air Saint Pierre;PJ;SPM;\N;France
151,Air Salone;20;RNE;AIR SALONE;Sierra Leone
152,Air Salone;2O;\N;\N;Sierra Leone
153,Air Santo Domingo;EX;SDO;AERO DOMINGO;Dominican Republic
154,Air Senegal International;V7;SNG;AIR SENEGAL;Senegal
155,Air Service Gabon;G8;AGB;\N;Gabon
156,Air Seychelles;HM;SEY;SEYCHELLES;Seychelles
157,Air Sicilia;BM;\N;\N;Italy
158,Air Sinai;4D;ASD;AIR SINAI;Egypt
159,Air Slovakia;GM;SVK;SLOVAKIA;Slovakia
160,Air Srpska;RB;SBK;Air Srpska;Bosnia and Herzegovina
161,Air São Tomé and Príncipe;KY;EQL;EQUATORIAL;Air São Tomé and Príncipe
162,Air Tahiti Nui;TN;THT;TAHITI AIRLINES;France
163,Air Tahiti;VT;VTA;AIR TAHITI;French Polynesia
164,Air Tanzania;TC;ATC;TANZANIA;Tanzania
165,Air Tindi;8T;\N;\N;Canadian Territories
166,Air Togo;YT;TGA;AIR TOGO;Togo
167,Air Transat;TS;TSC;TRANSAT;Canada
168,Air Turks and Caicos;JY;TCI;KERRMONT;Turks and Caicos Islands
169,Air Ukraine;6U;UKR;AIR UKRAINE;Ukraine
170,Air Urga;3N;URG;URGA;Ukraine
171,Air VIA;VL;VIM;\N;Bulgaria
172,Air Vanuatu;NF;AVN;AIR VAN;Vanuatu
173,Air Vegas;6V;VGA;AIR VEGAS;United States
174,Air Wales;6G;AWW;RED DRAGON;United Kingdom
175,Air Wisconsin;ZW;AWI;AIR WISCONSIN;United States
176,Air Zimbabwe;UM;AZW;AIR ZIMBABWE;Zimbabwe
177,AirAsia;AK;AXM;ASIAN EXPRESS;Malaysia
178,AirBridge Cargo;RU;ABW;AIRBRIDGE CARGO;Russia
179,AirTran Airways;FL;TRS;CITRUS;United States
180,Airblue;ED;ABQ;PAKBLUE;Pakistan
181,Airbus France;4Y;RBU;AIRBUS FRANCE;France
182,Aircompany Yakutia;R3;SYL;AIR YAKUTIA;Russia
183,Aires;4C;ARE; Aerovias de Integracion Regional; S.A.
184,Airlinair;A5;RLA;AIRLINAIR;France
185,Airlines Of Tasmania;FO;ATM;AIRTAS;Australia
186,Airlines PNG;CG;TOK;BALUS;Papua New Guinea
187,Airlink Zambia;K8;ZAK;\N;Zambia
188,Airnorth;TL;ANO;TOPEND;Australia
189,Airshop;FF;\N;\N;Netherlands
190,Alaska Airlines;AS;ASA; Inc.;ALASKA
191,Alaska Central Express;KO;AER;ACE AIR;United States
192,Albanian Airlines;LV;LBC;ALBANIAN;Albania
193,Albarka Air;F4;NBK;AL-AIR;Nigeria
194,Alidaunia;D4;LID;ALIDA;Italy
195,Alitalia;AZ;AZA;ALITALIA;Italy
196,All Nippon Airways;NH;ANA;ALL NIPPON;Japan
197,Allegiant Air;G4;AAY;ALLEGIANT;United States
198,Allegro;LL;GRO;ALLEGRO;Mexico
199,Alliance Air;CD;LLR;ALLIED;India
200,Alliance Airlines;QQ;UTY;UNITY;Australia
201,Aloha Airlines;AQ;AAH;ALOHA;United States
202,Alpi Eagles;E8;ELG;ALPI EAGLES;Italy
203,Alpine Air Express;5A;AIP;ALPINE AIR;United States
204,Alrosa Mirny Air Enterprise;6R;DRU;MIRNY;Russia
205,Amadeus Global Travel Distribution;1A;AGT;AMADEUS;Spain
206,Amaszonas;Z8;AZN;\N;Bolivia
207,Amber Air;0A;GNT;GINTA;Lithuania
208,America West Airlines;HP;AWE;CACTUS;United States
209,American Airlines;AA;AAL;AMERICAN;United States
